nome	lat	lon	pop	X	UF
Cruzeiro do Sul	-7.633333	-72.6	45517	3.06	AC
Tarauacá	-8.166667	-70.766667	16526	2.35	AC
Mâncio Lima	-7.616667	-72.9	7086	1.42	AC
Xapuri	-10.65	-68.516667	5721	1.51	AC
Senador Guiomard	-10.166667	-67.833333	11727	1.36	AC
Feijó	-8.15	-70.35	12951	1.69	AC
Rio Branco	-9.966667	-67.8	257645	3.32	AC
Brasiléia	-11	-68.733333	11200	2.12	AC
Manoel Urbano	-8.883333	-69.3	4066	1.63	AC
Plácido de Castro	-10.333333	-67.183333	11950	1.9	AC
Pôrto Walter	-8.261111	-72.738889	1816	1.45	AC
Sena Madureira	-9.066667	-68.666667	20516	2.26	AC
Ibateguara	-8.983333	-35.866667	8755	1.22	AL
Cacimbinhas	-9.4	-37	4618	1	AL
Viçosa	-9.4	-36.233333	19574	1.64	AL
Pôrto Calvo	-9.066667	-35.4	17347	1.3	AL
Joaquim Gomes	-9.2	-35.716667	14808	1.42	AL
Anadia	-9.7	-36.3	9574	1.08	AL
União dos Palmares	-9.166667	-36.033333	41179	1.88	AL
Atalaia	-9.516667	-36.033333	18908	1.28	AL
Campo Alegre	-9.8	-36.35	16786	1.48	AL
Capela	-9.416667	-36.066667	12520	1.11	AL
São Sebastião	-9.933333	-36.566667	9551	1.32	AL
Piranhas	-9.45	-37.766667	1170	0.9	AL
Murici	-9.316667	-35.933333	20420	1.43	AL
Santana do Ipanema	-9.366667	-37.233333	26147	1.98	AL
Limoeiro de Anadia	-9.733333	-36.516667	2770	0.67	AL
Messias	-9.416667	-35.833333	12376	0.94	AL
Olivença	-9.516667	-37.183333	2848	0.98	AL
Batalha	-9.683333	-37.133333	11820	1.46	AL
Igaci	-9.55	-36.633333	6480	1.24	AL
Maribondo	-9.583333	-36.233333	10475	0.55	AL
Coité do Nóia	-9.666667	-36.5	2529	0.46	AL
Santana do Mundaú	-9.15	-36.183333	6439	1.12	AL
Cajueiro	-9.716667	-36.45	15063	1.23	AL
São José da Tapera	-9.633333	-37.383333	12392	1.55	AL
Maceió	-9.666667	-35.716667	955010	3.25	AL
Mata Grande	-9.111667	-37.7	4654	1	AL
Junqueiro	-9.933333	-36.483333	7740	0.92	AL
Lagoa da Canoa	-9.816667	-36.766667	13428	1.22	AL
