nome	uf	lat	lon	pop2019	areakm2	litoral
Acrelândia	AC	-9.9337153318	-66.9504919677	15256	1950.32274986123	0
Assis Brasil	AC	-10.7790638964	-70.0058881967	7417	5541.17574793218	0
Brasiléia	AC	-10.7467413165	-69.2076410711	26278	4323.51797309138	0
Bujari	AC	-9.6140948743	-68.173710869	10266	3315.28360090076	0
Capixaba	AC	-10.4736105903	-67.8360225533	11733	1852.46190396663	0
Cruzeiro do Sul	AC	-7.9719377435	-72.7548786731	88376	10149.4593790193	0
Epitaciolândia	AC	-10.8889566772	-68.6181188447	18411	1814.81130886336	0
Feijó	AC	-8.9244635314	-70.7447793172	34780	31486.7631712311	0
Jordão	AC	-9.2425783861	-71.9060967768	8317	6116.74016345401	0
Mâncio Lima	AC	-7.5044446949	-73.4389747754	18977	6366.7633216334	0
Manoel Urbano	AC	-9.3812056361	-69.8539237545	9459	11836.0693441598	0
Marechal Thaumaturgo	AC	-9.0959734509	-72.5593263351	18867	9435.78387137163	0
Plácido de Castro	AC	-10.2488843021	-67.3398956758	19761	2104.01388860976	0
Porto Acre	AC	-9.629505648	-67.698446487	18504	2831.58160979969	0
Porto Walter	AC	-8.4917002064	-72.7335046965	11982	7443.86260274111	0
Rio Branco	AC	-10.0661478424	-68.3710447815	407319	9670.05521132834	0
Rodrigues Alves	AC	-7.843741206	-73.223280835	18930	3580.57321729407	0
Santa Rosa do Purus	AC	-9.4103376958	-70.3955509152	6540	6884.50484398246	0
Sena Madureira	AC	-9.7711746917	-69.3815699664	45848	26291.5837825489	0
Senador Guiomard	AC	-9.9970661118	-67.4270502956	23024	2516.08839932216	0
Tarauacá	AC	-8.2394446857	-71.4449339377	42567	22912.8439391451	0
Xapuri	AC	-10.5754874527	-68.5047673103	19323	5858.88103464231	0
Água Branca	AL	-9.2665419691	-37.8986571953	20196	493.319903269986	0
Anadia	AL	-9.6629683102	-36.313516251	17545	198.463406814895	1
Arapiraca	AL	-9.7492891038	-36.6410071416	231747	367.474577122136	1
Atalaia	AL	-9.504744827	-36.0724876282	47185	569.85359978185	1
Barra de Santo Antônio	AL	-9.3820400335	-35.5645124031	15932	141.338427665326	1
Barra de São Miguel	AL	-9.8134966653	-35.945208722	8322	81.9588837578193	1
Batalha	AL	-9.7068115859	-37.1008892687	18232	338.335755492572	0
Belém	AL	-9.5574024107	-36.4917837461	4344	70.9601683747012	1
Belo Monte	AL	-9.8176965048	-37.1885066123	6704	352.631587761555	1
Boca da Mata	AL	-9.667595034	-36.180991785	27281	198.527568057217	1
Branquinha	AL	-9.2230246932	-36.0395682796	10494	176.659380655331	1
Cacimbinhas	AL	-9.4456721233	-36.9215574896	10858	290.37666613899	0
